district_id,illiterate,only_literate,below_primary,primary,middle,secondary,intermediate,non_tech_diploma,tech_diploma,graduate,unknown
342,908557,174744,437781,582732,589101,496596,442997,2785,25603,818476,17322
343,2630304,198403,1654703,1433185,1083245,399886,418853,1023,7444,315226,19689
344,1835045,139342,1142785,1002792,874034,334953,347142,921,8451,211028,16964
345,1172681,70546,1179083,997621,838105,306396,329218,568,7134,187624,6899
293,284589,22986,109208,84416,65540,37938,26742,31,409,10295,1137
294,125770,8537,63895,53917,37808,16218,8760,2,82,2427,501
295,60272,2775,29392,21504,15634,7583,3871,9,25,917,352
296,152783,13453,95071,61130,31263,13438,10075,2,144,5192,910
297,102981,6296,66775,37994,21082,11093,7889,7,115,3948,660
298,247892,13851,170320,113969,101378,58267,56763,124,2264,60049,1045
299,207597,10569,74403,39999,25192,15526,12476,19,438,7691,1214
281,26173,1041,20559,16475,13033,4135,3061,3,42,1766,76
282,18060,1157,18057,18255,15706,5894,4052,9,67,2540,158
283,59714,4371,67533,72024,87082,41828,36936,102,970,29397,352
284,24943,1831,30516,29124,22944,7216,5236,13,108,3675,139
285,10461,795,13666,15356,13461,4884,3817,11,68,2367,51
286,40306,2204,34867,30125,27407,12385,8259,26,364,5360,125
287,55033,1455,20168,15100,12580,6455,4277,13,135,2598,80
288,14341,615,10499,10991,9269,5356,3431,15,108,1918,31
203,2175561,103230,589782,496037,242829,162566,84581,2432,812,64393,12819
204,2822414,123691,684995,636504,341440,243717,134023,3965,885,89448,18289
205,372548,31457,91936,71329,34003,27576,14723,645,96,9743,2190
206,1986780,91625,446117,383768,196092,149800,83611,3290,550,67197,14744
207,2332041,134576,569877,584772,314707,258648,142624,4943,754,130087,14350
208,1195793,75610,348612,269059,135845,95730,58136,2092,324,37662,10213
209,1615801,96571,411723,322261,142011,96521,56273,8863,300,36799,24446
210,945344,58405,300550,203391,77919,43927,24813,7568,285,18402,9796
211,1932293,114417,433585,332875,166905,123196,74627,8312,472,61234,16703
212,1790839,88234,430289,330804,172742,114402,67662,7981,478,52925,14673
213,1167185,56739,252069,205755,112959,94241,62985,702,222,39816,9089
214,1095665,39509,242490,193521,113335,96927,59963,1916,287,50369,6679
215,2120751,118799,496415,484157,257248,211316,112320,5052,771,117911,12645
